job ( ANS )
job ( ANS )
job ( ANS )
job ( ANS )
job ( ANS )
job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , title ( ANS , titleid0 )
job ( ANS ) , loc ( ANS , locid0 ) , \+ req_exp ( ANS )
job ( ANS ) , company ( ANS , companyid0 ) , req_deg ( ANS , degid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
job ( ANS ) , platform ( ANS , platformid0 ) , loc ( ANS , locid0 )
title ( ANS , titleid0 ) , job ( ANS ) , company ( ANS , companyid0 )
area ( ANS , areaid0 ) , job ( ANS ) , loc ( ANS , locid0 )
job ( ANS )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , country ( ANS , locid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , title ( ANS , titleid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 )
job ( ANS ) , platform ( ANS , platformid0 ) , language ( ANS , languageid0 )
job ( ANS )
job ( ANS ) , title ( ANS , titleid0 ) , loc ( ANS , locid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
loc ( ANS , locid0 ) , job ( ANS ) , des_deg ( ANS , degid0 )
job ( ANS ) , area ( ANS , areaid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
title ( ANS , titleid0 ) , job ( ANS ) , company ( ANS , companyid0 )
job ( ANS ) , area ( ANS , areaid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , recruiter ( ANS , recruiterid0 )
job ( ANS ) , company ( ANS , companyid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , company ( ANS , companyid0 )
title ( ANS , titleid0 ) , job ( ANS ) , company ( ANS , companyid0 )
job ( ANS ) , area ( ANS , areaid0 )
loc ( ANS , locid0 ) , job ( ANS ) , req_deg ( ANS , degid0 )
area ( ANS , areaid0 ) , job ( ANS ) , loc ( ANS , locid0 )
loc ( ANS , locid0 ) , job ( ANS ) , req_deg ( ANS , degid0 )
job ( ANS ) , loc ( ANS , locid0 ) , \+ req_exp ( ANS )
req_deg ( ANS , degid0 ) , loc ( ANS , locid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , company ( ANS , companyid0 ) , language ( ANS , languageid0 )
job ( ANS ) , recruiter ( ANS , recruiterid0 )
job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , platform ( ANS , platformid0 ) , req_deg ( ANS , degid0 )
area ( ANS , areaid0 ) , job ( ANS ) , req_deg ( ANS , degid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , area ( ANS , areaid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , recruiter ( ANS , recruiterid0 )
job ( ANS ) , language ( ANS , languageid0 ) , company ( ANS , companyid0 )
loc ( ANS , locid0 ) , job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
company ( ANS , companyid0 ) , job ( ANS ) , \+ req_deg ( ANS , degid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , language ( ANS , languageid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , loc ( ANS , locid0 )
req_deg ( B , ANS ) , title ( B , titleid0 )
job ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , ( ( language ( ANS , languageid0 ) ) ; ( language ( ANS , languageid1 ) ) )
job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , platform ( ANS , platformid0 ) , language ( ANS , languageid0 )
job ( ANS ) , language ( ANS , languageid0 ) , loc ( ANS , locid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_exp ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , loc ( ANS , locid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , \+ req_exp ( ANS )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 ) , title ( ANS , titleid0 )
title ( ANS , titleid0 ) , job ( ANS ) , req_exp ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , company ( ANS , companyid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , area ( ANS , areaid0 ) , title ( ANS , titleid0 )
job ( ANS )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , language ( ANS , languageid0 ) , loc ( ANS , locid0 )
job ( ANS ) , area ( ANS , areaid0 )
loc ( B , ANS ) , job ( B ) , language ( B , languageid0 ) , platform ( B , platformid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , \+ platform ( ANS , platformid0 )
job ( ANS ) , area ( ANS , areaid0 )
title ( ANS , titleid0 ) , job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , \+ req_exp ( ANS )
company ( ANS , companyid0 ) , job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 ) , language ( ANS , languageid1 )
job ( ANS )
job ( ANS ) , area ( ANS , areaid0 )
title ( ANS , titleid0 ) , job ( ANS ) , req_exp ( ANS )
job ( ANS ) , req_deg ( ANS , degid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ req_deg ( ANS , degid0 )
company ( ANS , companyid0 ) , job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
company ( ANS , companyid0 ) , job ( ANS ) , \+ req_deg ( ANS , degid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , platform ( ANS , platformid0 )
title ( ANS , titleid0 ) , job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
language ( ANS , languageid0 ) , job ( ANS ) , req_deg ( ANS , degid0 ) , loc ( ANS , locid0 )
job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , req_exp ( ANS , year0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_exp ( ANS , year0 )
job ( ANS ) , \+ language ( ANS , languageid0 )
job ( ANS ) , title ( ANS , titleid0 ) , language ( ANS , languageid0 )
job ( ANS ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , req_deg ( ANS , degid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
job ( ANS ) , company ( ANS , companyid0 ) , req_exp ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , area ( ANS , areaid0 ) , company ( ANS , companyid0 )
job ( ANS ) , req_exp ( ANS ) , application ( ANS , applicationid0 )
area ( ANS , areaid0 ) , job ( ANS ) , recruiter ( ANS , recruiterid0 )
job ( ANS ) , req_exp ( ANS , year0 )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 ) , area ( ANS , areaid0 ) , req_exp ( ANS )
job ( ANS ) , language ( ANS , languageid1 ) , \+ language ( ANS , languageid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , req_exp ( ANS ) , application ( ANS , applicationid0 )
loc ( ANS , locid0 ) , job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , title ( ANS , titleid0 ) , language ( ANS , languageid0 )
job ( ANS ) , company ( ANS , companyid0 ) , req_exp ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , loc ( ANS , locid0 ) , salary_greater_than ( ANS , num_salary , year ) , area ( ANS , areaid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , language ( ANS , languageid0 ) , loc ( ANS , locid0 )
job ( ANS ) , des_deg ( ANS ) , \+ language ( ANS , languageid0 )
job ( ANS ) , title ( ANS , titleid0 ) , language ( ANS , languageid0 )
language ( ANS , languageid0 ) , job ( ANS ) , company ( ANS , companyid0 ) , loc ( ANS , locid0 )
loc ( ANS , locid0 ) , area ( ANS , areaid0 ) , job ( ANS ) , language ( ANS , languageid0 ) , language ( ANS , languageid1 )
job ( ANS ) , title ( ANS , titleid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , title ( ANS , titleid0 ) , language ( ANS , languageid0 )
job ( ANS ) , loc ( ANS , locid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , loc ( ANS , locid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , language ( ANS , languageid0 ) , language ( ANS , languageid1 )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , company ( ANS , companyid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , language ( ANS , languageid0 )
job ( ANS ) , title ( ANS , titleid0 ) , language ( ANS , languageid0 )
job ( ANS ) , language ( ANS , languageid0 ) , language ( ANS , languageid1 ) , loc ( ANS , locid0 )
job ( ANS ) , language ( ANS , languageid0 ) , language ( ANS , languageid1 ) , \+ language ( ANS , languageid2 )
job ( ANS ) , req_deg ( ANS , degid0 ) , req_exp ( ANS ) , application ( ANS , languageid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ req_deg ( ANS , degid0 )
job ( ANS ) , \+ language ( ANS , languageid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , language ( ANS , languageid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , req_exp ( ANS , year0 )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 )
job ( ANS ) , loc ( ANS , locid0 ) , salary_greater_than ( ANS , num_salary , year ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
job ( ANS ) , title ( ANS , titleid0 ) , salary_greater_than ( ANS , num_salary , year ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , application ( ANS , languageid1 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ language ( ANS , languageid1 )
job ( ANS ) , language ( ANS , languageid0 ) , area ( ANS , areaid0 )
language ( ANS , languageid0 ) , job ( ANS ) , req_deg ( ANS , degid0 ) , loc ( ANS , locid0 )
platform ( ANS , platformid0 ) , title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 )
company ( ANS , companyid0 ) , job ( ANS ) , \+ req_exp ( ANS )
job ( ANS ) , platform ( ANS , platformid0 ) , language ( ANS , languageid0 ) , area ( ANS , areaid0 ) , company ( ANS , companyid0 )
area ( ANS , areaid0 ) , job ( ANS ) , recruiter ( ANS , recruiterid0 )
req_exp ( A , ANS ) , job ( A ) , language ( A , languageid0 )
job ( ANS ) , loc ( ANS , locid0 ) , salary_greater_than ( ANS , num_salary , year ) , area ( ANS , areaid0 )
title ( ANS , titleid0 ) , job ( ANS ) , req_deg ( ANS , degid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ language ( ANS , languageid1 )
company ( ANS , companyid0 ) , job ( ANS ) , \+ req_exp ( ANS )
title ( ANS , titleid0 ) , job ( ANS ) , \+ ( req_exp ( ANS ) , platform ( ANS , platformid0 ) )
loc ( ANS , locid0 ) , job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , des_deg ( ANS ) , \+ language ( ANS , languageid0 )
job ( ANS ) , area ( ANS , areaid0 ) , company ( ANS , companyid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , language ( ANS , languageid0 ) , area ( ANS , areaid0 ) , platform ( ANS , platformid0 )
language ( ANS , languageid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , \+ req_deg ( ANS , degid0 )
job ( ANS ) , application ( ANS , applicationid0 )
job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , req_deg ( ANS , degid0 )
job ( ANS ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 ) , title ( ANS , titleid0 ) , language ( ANS , languageid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 ) , language ( ANS , languageid0 )
job ( ANS ) , salary_greater_than ( ANS , 20 , hour )
job ( ANS ) , area ( ANS , areaid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , loc ( ANS , locid0 ) , area ( ANS , areaid0 ) , platform ( ANS , platformid0 )
company ( ANS , companyid0 ) , job ( ANS ) , req_deg ( ANS , degid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 ) , loc ( ANS , locid0 )
job ( ANS ) , loc ( ANS , locid0 ) , application ( ANS , languageid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 ) , platform ( ANS , platformid0 )
area ( ANS , areaid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , language ( ANS , languageid0 ) , company ( ANS , companyid0 ) , loc ( ANS , locid0 )
job ( ANS ) , des_deg ( ANS , degid0 ) , loc ( ANS , locid0 ) , company ( ANS , companyid0 )
job ( ANS ) , application ( ANS , applicationid0 )
company ( X , ANS ) , req_deg ( X , degid0 ) , loc ( X , locid0 )
req_exp ( A , ANS ) , job ( A ) , company ( A , companyid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , loc ( ANS , locid0 ) , area ( ANS , areaid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , area ( ANS , areaid0 ) , req_exp ( ANS ) , \+ language ( ANS , languageid0 )
job ( ANS ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ req_deg ( ANS )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
job ( ANS ) , area ( ANS , areaid0 ) , loc ( ANS , locid0 )
company ( ANS , companyid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , loc ( ANS , locid0 ) , \+ company ( ANS , companyid0 )
job ( ANS ) , language ( ANS , languageid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , loc ( ANS , locid0 ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
language ( ANS , languageid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , area ( ANS , areaid0 )
job ( ANS ) , language ( ANS , languageid0 ) , company ( ANS , companyid0 ) , loc ( ANS , locid0 )
job ( ANS ) , area ( ANS , areaid0 ) , title ( ANS , titleid0 ) , platform ( ANS , platformid0 )
area ( ANS , areaid0 ) , job ( ANS ) , req_deg ( ANS , degid0 ) , \+ req_exp ( ANS )
loc ( A , ANS ) , req_deg ( A , degid0 ) , \+ req_exp ( A )
job ( ANS ) , language ( ANS , languageid0 ) , req_deg ( ANS , degid0 ) , req_exp ( ANS , year0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , platform ( ANS , platformid0 )
company ( ANS , companyid0 ) , job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 ) , platform ( ANS , platformid0 ) , loc ( ANS , locid0 )
job ( ANS ) , salary_greater_than ( ANS , num_salary , year ) , des_deg ( ANS , degid0 )
company ( ANS , companyid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , area ( ANS , areaid0 ) , title ( ANS , titleid0 ) , platform ( ANS , platformid0 )
title ( ANS , titleid0 ) , job ( ANS ) , loc ( ANS , locid0 ) , area ( ANS , areaid0 ) , language ( ANS , languageid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , des_deg ( ANS , degid1 )
job ( ANS ) , company ( ANS , companyid0 ) , \+ req_exp ( ANS ) , req_deg ( ANS , degid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ company ( ANS , companyid0 )
job ( ANS ) , language ( ANS , languageid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , language ( ANS , languageid0 ) , \+ language ( ANS , languageid1 )
job ( ANS ) , company ( ANS , companyid0 ) , language ( ANS , languageid0 ) , application ( ANS , applicationid0 )
job ( ANS ) , language ( ANS , languageid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , title ( ANS , titleid0 )
job ( ANS ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 ) , platform ( ANS , platformid1 )
job ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , req_exp ( ANS ) , ( ( language ( ANS , languageid0 ) ) ; ( language ( ANS , languageid1 ) ) )
platform ( A , ANS ) , title ( A , titleid0 ) , company ( A , companyid0 )
job ( ANS ) , des_exp ( ANS , year0 ) , language ( ANS , languageid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , \+ req_deg ( ANS , degid0 )
job ( ANS ) , req_deg ( ANS , degid0 ) , company ( ANS , companyid0 ) , loc ( ANS , locid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_exp ( ANS ) , platform ( ANS , platformid0 )
job ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 ) , req_deg ( ANS , degid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_exp ( ANS , year0 )
job ( ANS ) , req_exp ( ANS , year0 ) , company ( ANS , companyid0 )
application ( ANS , languageid0 ) , job ( ANS ) , company ( ANS , companyid0 ) , loc ( ANS , locid0 ) , platform ( ANS , platformid0 )
job ( ANS ) , company ( ANS , companyid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , \+ req_deg ( ANS ) , loc ( ANS , locid0 )
job ( ANS ) , req_exp ( ANS , year0 ) , language ( ANS , languageid0 )
job ( ANS ) , loc ( ANS , locid0 ) , req_deg ( ANS , degid0 ) , \+ req_exp ( ANS )
job ( ANS ) , loc ( ANS , locid0 ) , platform ( ANS , P ) , language ( ANS , languageid0 ) , platform ( ANS , P )
job ( ANS ) , \+ req_deg ( ANS ) , language ( ANS , languageid0 ) , title ( ANS , titleid0 )
job ( ANS ) , company ( ANS , companyid0 ) , salary_greater_than ( ANS , num_salary , year )
job ( ANS ) , req_exp ( ANS ) , language ( ANS , languageid0 ) , language ( ANS , languageid1 ) , \+ language ( ANS , languageid2 )
