airport￨root
one￨nummod way￨root
ci0￨compound airport￨root
ground￨root ci0￨punct
code￨compound al0￨root
ci0￨compound airport￨root
al0￨root fn0￨flat
describ￨root ap0￨flat
ground￨compound transport￨root ci0￨punct
ground￨compound transport￨root ci0￨punct
what￨root is￨cop sa￨appos
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
onli￨discourse show￨root al0￨punct
explain￨root restrict￨xcomp rc0￨punct
from￨case ci0￨root to￨case ci1￨nmod
doe￨compound al0￨compound serv￨compound ci0￨root
what￨det doe￨obj al0￨nsubj mean￨root
ground￨compound transport￨root in￨case ci0￨nmod
ci1￨root to￨case ci0￨advcl pleas￨obl
what￨det doe￨obj ap0￨nsubj mean￨root
doe￨compound al0￨compound serv￨compound ci0￨root
flight￨root from￨case ci0￨compound pleas￨nmod
what￨root airlin￨nsubj is￨cop al0￨punct
what￨det doe￨obj fb0￨nsubj mean￨root
explain￨root fare￨compound code￨obj fb0￨punct
al0￨root from￨case ci0￨compound pleas￨nmod
what￨det doe￨obj rc0￨nsubj mean￨root
what￨det doe￨obj ap0￨nsubj mean￨root
what￨root airlin￨nsubj is￨cop al0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
from￨case ci1￨root to￨case ci0￨nmod
show￨root me￨iobj the￨det flight￨obj
display￨root all￨det fare￨compound code￨obj
from￨case ci0￨root to￨case ci1￨nmod
ci0￨root to￨case ci1￨obl da0￨punct
explain￨root meal￨compound code￨obj rc0￨punct
what￨nsubj is￨aux restrict￨root rc0￨punct
from￨case ci1￨root to￨case ci0￨nmod
what￨det doe￨obj ap0￨nsubj mean￨root
ci0￨root to￨case ci1￨obl da0￨punct
what￨det doe￨obj al0￨nsubj mean￨root
where￨root is￨cop ap0￨amod locat￨nsubj
what￨nsubj is￨aux restrict￨root rc0￨punct
where￨root is￨cop ap0￨amod locat￨nsubj
ci0￨root to￨case ci1￨obl da0￨punct
from￨case ci0￨root to￨case ci1￨nmod
ci0￨root to￨case ci1￨obl da0￨punct
ground￨compound transport￨root in￨case ci0￨nmod
ground￨compound transport￨root for￨case ci0￨nmod
what￨det doe￨obj al0￨nsubj mean￨root
from￨case ci0￨root to￨case ci1￨nmod
ci0￨root to￨case ci1￨obl da0￨punct
rental￨amod car￨root in￨case ci0￨nmod
rental￨amod car￨root in￨case ci0￨nmod
ground￨compound transport￨root in￨case ci0￨nmod
what￨root airlin￨nsubj is￨cop al0￨punct
what￨nsubj is￨aux restrict￨root rc0￨punct
show￨root me￨iobj the￨det airlin￨obj
what￨nsubj is￨aux restrict￨root rc0￨punct
what￨nsubj is￨cop airlin￨root al0￨punct
explain￨root the￨det fare￨compound code￨obj
from￨case ci0￨root to￨case ci1￨nmod
what￨nsubj airlin￨root servic￨obj ap0￨punct
ground￨compound transport￨root in￨case ci0￨nmod
from￨case ci0￨root to￨case ci1￨nmod
what￨det doe￨obj ap0￨nsubj mean￨root
ci1￨root to￨case ci0￨obl da0￨punct
what￨det doe￨nsubj restrict￨root rc0￨punct
al0￨root to￨case ci0￨advcl pleas￨obl
what￨nsubj is￨aux restrict￨root rc0￨punct
ground￨compound transport￨root in￨case ci0￨nmod
ci0￨root to￨case ci1￨obl da0￨punct
what￨root airlin￨nsubj are￨cop there￨advmod
what￨det fare￨compound code￨root fb0￨punct
explain￨root the￨det restrict￨obj rc0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
what￨det doe￨obj al0￨nsubj mean￨root
from￨case ci1￨root to￨case ci0￨nmod
ground￨compound transport￨root in￨case ci0￨nmod
what￨nsubj is￨aux restrict￨root rc0￨punct
what￨det doe￨obj ap0￨nsubj mean￨root
what￨nsubj is￨cop airlin￨root al0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
which￨det airlin￨compound serv￨compound ci0￨root
from￨case ci0￨root to￨case ci1￨nmod
ci0￨root to￨case ci1￨obl da0￨punct
what￨root airlin￨nsubj is￨cop al0￨punct
what￨nsubj is￨cop airlin￨root al0￨punct
what￨det doe￨obj al0￨nsubj mean￨root
doe￨compound al0￨compound serv￨compound ci0￨root
doe￨compound al0￨compound serv￨compound ci0￨root
which￨det airlin￨compound serv￨compound ci0￨root
what￨root citi￨nsubj is￨cop ap0￨punct
ci1￨root to￨case ci0￨obl da0￨punct
doe￨compound al0￨compound serv￨compound ci0￨root
doe￨compound al0￨compound serv￨compound ci0￨root
what￨nsubj is￨aux restrict￨root rc0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
what￨nsubj is￨cop airlin￨root al0￨punct
from￨case ci0￨root to￨case ci1￨nmod
ground￨compound transport￨root in￨case ci0￨nmod
what￨nsubj is￨aux restrict￨root rc0￨punct
what￨det doe￨obj ap0￨nsubj mean￨root
ci0￨root to￨case ci1￨obl da0￨punct
ci0￨root to￨case ci1￨advcl pleas￨obl
al0￨root to￨case ci0￨advcl pleas￨obl
doe￨compound al0￨compound serv￨compound ci0￨root
ci0￨root to￨case ci1￨obl da0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
ci0￨root to￨case ci1￨obl da0￨punct
al0￨discourse stop￨root in￨case ci0￨obl
doe￨compound al0￨compound serv￨compound ci0￨root
ci0￨root to￨case ci1￨obl da0￨punct
ground￨compound transport￨root in￨case ci0￨nmod
from￨case ci1￨root to￨case ci0￨nmod
what￨nsubj is￨cop airlin￨root al0￨punct
describ￨amod fare￨compound code￨compound fb0￨root
from￨case ci1￨root to￨case ci0￨nmod
ground￨compound transport￨root in￨case ci0￨nmod
ground￨compound transport￨root in￨case ci0￨nmod
al0￨root from￨case ci0￨compound pleas￨nmod
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root ground￨compound transport￨obj for￨case ci0￨obl
what￨root is￨cop the￨det rc0￨compound restrict￨nsubj
flight￨root from￨case ci0￨compound mn0￨nmod dn0￨punct
which￨det citi￨compound doe￨compound al0￨compound servic￨root
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
pleas￨nsubj explain￨root fare￨compound code￨obj fb0￨punct
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨nsubj al0￨aux stop￨root in￨obl ci0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
al0￨root from￨case ci1￨nmod to￨case ci0￨nmod
ci0￨root to￨mark ci1￨xcomp on￨case da0￨obl
show￨root me￨iobj ci0￨det ground￨obj transport￨obj
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
what￨det the￨det airport￨root at￨case ci0￨nmod
show￨root ground￨compound transport￨obj in￨case ci0￨obl
doe￨nsubj al0￨aux stand￨root for￨case al0￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
nonstop￨amod flight￨compound ci0￨root to￨case ci1￨nmod
what￨nsubj airlin￨aux leav￨root from￨case ci0￨obl
flight￨root from￨case ci0￨compound mn0￨nmod dn0￨punct
nonstop￨amod flight￨compound ci0￨root to￨case ci1￨nmod
flight￨root from￨case ap0￨nmod to￨case ap1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
list￨compound ground￨compound transport￨root in￨case ci0￨nmod
fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨nsubj al0￨aux stand￨root for￨punct
what￨det doe￨nsubj restrict￨root rc0￨obj mean￨ccomp
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
nonstop￨amod flight￨compound ci1￨root to￨case ci0￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨det airlin￨nsubj is￨cop al0￨root fn0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨obj airlin￨nsubj have￨root busi￨compound class￨obj
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
are￨root there￨expl al0￨det leav￨nsubj ci0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
ci0￨root to￨mark ci1￨xcomp on￨case da0￨obl
what￨root is￨cop book￨compound class￨nsubj fb0￨punct
doe￨compound al0￨compound aircraft￨compound fli￨compound ac0￨root
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
what￨det plane￨compound doe￨compound al0￨nsubj use￨root
what￨det doe￨nsubj restrict￨root rc0￨obj mean￨ccomp
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
all￨det flight￨compound ci0￨root to￨case ap0￨nmod
explain￨root the￨det fare￨compound code￨obj fb0￨punct
what￨det doe￨nsubj rc0￨aux stand￨root for￨punct
what￨det limousin￨compound servic￨root in￨case ci0￨nmod
airlin￨nsubj that￨nsubj stand￨root for￨case al0￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
al0￨root to￨mark ci0￨xcomp from￨case ci1￨obl
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨nsubj al0￨aux stop￨root in￨obl ci0￨punct
what￨det doe￨nsubj al0￨aux stand￨root for￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
tell￨root me￨obj about￨case al0￨obl fn0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
nonstop￨amod flight￨compound ci1￨root to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj land￨root at￨case ap0￨obl
al0￨root with￨case stop￨obl in￨case ci0￨obl
what￨det doe￨compound code￨nsubj fb0￨aux mean￨root
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
describ￨amod ground￨compound transport￨root in￨case ci0￨nmod
al0￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det abbrevi￨nsubj ac0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det citi￨compound doe￨compound al0￨compound servic￨root
what￨det doe￨compound code￨nsubj fb0￨aux mean￨root
what￨det doe￨nsubj al0￨aux stand￨root for￨punct
flight￨root from￨case ci0￨nmod to￨case st0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨nsubj restrict￨root rc0￨obj mean￨ccomp
what￨det limousin￨compound servic￨root in￨case ci0￨nmod
al0￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨nsubj will￨aux start￨root from￨case ci0￨obl
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨det doe￨compound ap￨nsubj 0￨nummod stand￨root for￨punct
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨root is￨cop fare￨compound class￨nsubj fb0￨punct
fare￨root between￨case ci0￨nmod and￨cc ci1￨conj
show￨root me￨iobj ci0￨det ground￨obj transport￨obj
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨nsubj fb0￨aux stand￨root for￨punct
what￨det doe￨compound ap￨nsubj 0￨nummod stand￨root for￨punct
show￨root me￨iobj airport￨obj near￨advmod ci0￨vocative
what￨nsubj airlin￨aux stand￨root for￨obl al0￨punct
flight￨root from￨case ci0￨compound mn0￨nmod dn0￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
doe￨nsubj al0￨aux stand￨root for￨case al0￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj leav￨root from￨case ci0￨obl
list￨root all￨det flight￨obj at￨case ap0￨obl
ci0￨root to￨mark ci1￨xcomp on￨case da0￨obl
pleas￨compound list￨nsubj inform￨root regard￨obj ap0￨punct
what￨det doe￨compound code￨nsubj fb0￨aux mean￨root
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨compound ap￨nsubj 0￨nummod stand￨root for￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
ground￨compound transport￨nsubj ap0￨root to￨case ci0￨obl
what￨nsubj airlin￨aux fli￨root into￨obl ci0￨punct
what￨det doe￨nsubj restrict￨root rc0￨obj mean￨ccomp
ci0￨root to￨mark ci1￨advcl mn0￨obj dn0￨punct
al0￨root from￨case ci0￨nmod to￨case ci1￨nmod
doe￨compound al0￨compound fli￨root into￨case ci0￨nmod
al0￨amod flight￨compound stop￨root in￨case ci0￨nmod
what￨root is￨cop fare￨compound code￨nsubj fb0￨punct
doe￨compound al0￨nsubj have￨root ani￨compound flight￨obj
flight￨root between￨case ci1￨nmod and￨cc ci0￨conj
flight￨root between￨case ci1￨nmod and￨cc ci0￨conj
da0￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det fb0￨compound code￨nsubj
what￨root is￨cop the￨det rc0￨compound restrict￨nsubj
flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
is￨cop there￨nmod:poss limo￨compound servic￨root at￨case ap0￨nmod
what￨nsubj airlin￨root from￨case ci0￨obl to￨case ci1￨obl
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
latest￨amod flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
list￨root all￨det flight￨obj depart￨parataxis from￨case ap0￨obl
first￨amod class￨root from￨case ci1￨nmod to￨case ci0￨nmod
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
pleas￨nsubj give￨root ground￨compound transport￨obj at￨case ap0￨obl
what￨obj al0￨aux leav￨nsubj ci0￨root befor￨advmod ti0￨punct
show￨root al0￨obj between￨case ci0￨obl and￨cc ci1￨conj
all￨det flight￨root to￨mark ci0￨acl after￨advmod ti0￨obl
cheapest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
is￨root there￨nmod:poss ground￨nsubj transport￨nsubj in￨case ci0￨nmod
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
da0￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
list￨compound ground￨compound transport￨compound option￨root at￨case ci0￨nmod
pleas￨root list￨compound ground￨compound transport￨appos in￨case ci0￨nmod
what￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
show￨root me￨iobj all￨det al0￨det flight￨compound pleas￨obj
cheapest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root flight￨obj between￨case ci0￨nmod and￨cc ci1￨conj
cheapest￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
doe￨nsubj the￨det ap0￨nsubj have￨root a￨det name￨obj
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
show￨root me￨iobj the￨det flight￨obj into￨case ap0￨nmod
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
earliest￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨nsubj inform￨root from￨case ci1￨obl to￨case ci0￨obl
flight￨nsubj inform￨root from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
what￨nsubj airlin￨aux use￨root the￨det code￨obj al0￨punct
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
what￨obl al0￨det flight￨nsubj go￨root through￨obl ci0￨punct
which￨det al0￨amod flight￨nsubj go￨root through￨obl ci0￨punct
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
lowest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
da0￨amod flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
show￨root me￨iobj the￨det flight￨obj from￨case ap0￨nmod
ci1￨root to￨mark ci0￨xcomp pleas￨compound breakfast￨compound flight￨obl
what￨root are￨cop all￨det:predet the￨det avail￨compound meal￨nsubj
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
flight￨root from￨case ci0￨nmod to￨case ci1￨compound pleas￨nmod
all￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
we￨nsubj 'r￨aux go￨root from￨case ci1￨obl to￨case ci0￨obl
what￨obl airlin￨aux fli￨aux ci0￨root to￨case ci1￨punct
all￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
where￨root doe￨compound al0￨compound intern￨compound fli￨nsubj to￨punct
show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod
morn￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
how￨advmod mani￨compound airport￨compound doe￨compound ci0￨nsubj have￨root
what￨obj doe￨cop the￨det abbrevi￨compound al0￨nsubj mean￨root
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
what￨det flight￨nsubj has￨aux al0￨root from￨obl ci0￨punct
list￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨obj ci0￨xcomp to￨case ci1￨det flight￨obl
what￨det flight￨nsubj are￨aux:pass provid￨root by￨obl al0￨punct
all￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod tomorrow￨nmod:tmod
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
show￨root me￨iobj ground￨compound transport￨obj for￨case ci0￨obl
list￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
what￨det type￨nsubj of￨case meal￨nmod are￨cop avail￨root
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod daili￨punct
morn￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
from￨case ci1￨root to￨case ci0￨nmod on￨case da0￨nmod
all￨det al0￨root with￨case stopov￨nmod in￨case ci0￨nmod
show￨root me￨iobj the￨det flight￨obj from￨case ap0￨nmod
flight￨compound leav￨root from￨case ci1￨nmod to￨case ci0￨nmod
da0￨amod flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod daili￨punct
cheapest￨amod airfar￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
shortest￨amod flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
all￨det flight￨root to￨mark ci0￨acl after￨advmod ti0￨obl
show￨root flight￨obj from￨case ci1￨obl to￨case ci0￨obl
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
morn￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
nonstop￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj leav￨aux ci0￨root on￨case al0￨obl
what￨det doe￨compound flight￨compound code￨nsubj al0￨aux mean￨root
what￨det airlin￨nsubj are￨cop al0￨root and￨cc al1￨conj
show￨root me￨iobj ground￨compound transport￨obj for￨case ci0￨obl
what￨det time￨nsubj zone￨nsubj is￨cop ci0￨root in￨advmod
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
which￨det flight￨nsubj are￨cop servic￨root by￨case al0￨nmod
how￨advmod mani￨compound book￨compound class￨nsubj are￨cop there￨root
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod daili￨punct
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
the￨det flight￨nsubj will￨aux origin￨root from￨case ci0￨obl
what￨obj is￨cop fare￨compound code￨compound fb0￨nsubj mean￨root
what￨obl al0￨aux leav￨aux ci0￨root for￨case ci1￨punct
flight￨root from￨case ci0￨nmod to￨case ci1￨compound california￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
morn￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
list￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨obj ci0￨xcomp to￨case ci1￨det flight￨obl
show￨root me￨iobj the￨det flight￨obj from￨case ap0￨nmod
round￨amod trip￨compound fare￨compound ci0￨root to￨case ci1￨nmod
show￨root me￨iobj even￨advmod flight￨obj to￨case ci0￨nmod
da0￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
all￨det flight￨root to￨mark ci0￨acl after￨advmod ti0￨obl
show￨root flight￨obj from￨case ci1￨obl to￨case ci0￨obl
flight￨root from￨case ci0￨nmod back￨advmod to￨case ci1￨nmod
show￨root me￨iobj the￨det most￨advmod expens￨amod fare￨obj
am￨cop flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
cheapest￨amod airfar￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root flight￨obj from￨case ci1￨obl into￨case ci0￨obl
even￨advmod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj are￨aux:pass provid￨root by￨obl al0￨punct
is￨cop ground￨compound transport￨compound avail￨root in￨case ci0￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
lowest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
show￨root departur￨obj from￨case ci0￨obl for￨case al0￨obl
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod
which￨det al0￨amod flight￨nsubj go￨root through￨obl ci0￨punct
list￨compound flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
shortest￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root flight￨obj from￨case ci1￨obl to￨case ci0￨obl
is￨root there￨nmod:poss ground￨nsubj transport￨nsubj in￨case ci0￨nmod
how￨advmod much￨amod doe￨compound al0￨compound fn0￨amod cost￨root
which￨det airlin￨compound provid￨amod busi￨compound class￨compound flight￨root
what￨obj doe￨cop the￨det abbrevi￨compound al0￨nsubj mean￨root
al0￨discourse fn0￨root from￨case ci0￨nmod to￨case ci1￨nmod
list￨compound flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
show￨root flight￨obj from￨case ci1￨obl into￨case ci0￨obl
