airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
where￨WRB￨root￨ROOT is￨VBZ￨cop￨where ap0￨NNP￨nsubj￨where
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
defin￨NN￨compound￨airlin airlin￨NN￨root￨ROOT al0￨.￨punct￨airlin
what￨WP￨nsubj￨restrict restrict￨VBP￨root￨ROOT rc0￨.￨punct￨restrict
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
al0￨NN￨compound￨leav leav￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
airport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨airport
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
name￨NN￨root￨ROOT of￨IN￨case￨airport airport￨NN￨nmod￨name
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
flight￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
is￨VBZ￨root￨ROOT ap0￨PRP￨nsubj￨is ci0￨.￨punct￨ap0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ci0￨JJ￨amod￨ground ground￨NN￨compound￨transport transport￨NN￨root￨ROOT
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
train￨VB￨root￨ROOT to￨IN￨case￨ci0 ci0￨NN￨obl￨train
flight￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
ci1￨VB￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨obl￨ci1
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
defin￨NN￨compound￨airlin airlin￨NN￨root￨ROOT al0￨.￨punct￨airlin
ci0￨JJ￨amod￨ground ground￨NN￨compound￨transport transport￨NN￨root￨ROOT
ci0￨JJ￨amod￨ground ground￨NN￨compound￨transport transport￨NN￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
show￨VB￨root￨ROOT me￨PRP￨obj￨show airlin￨RB￨advmod￨abbrevi abbrevi￨NN￨obj￨show
what￨WP￨root￨ROOT do￨VBP￨aux￨what these￨DT￨det￨cost cost￨NN￨nsubj￨what
show￨VB￨root￨ROOT me￨PRP￨obj￨show airlin￨RB￨advmod￨abbrevi abbrevi￨NN￨obj￨show
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
what￨WDT￨det￨doe doe￨NN￨obj￨mean al0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
ci1￨VB￨root￨ROOT to￨IN￨case￨pleas ci0￨VB￨advcl￨ci1 pleas￨NNS￨obl￨ci1
what￨WDT￨det￨doe doe￨NN￨obj￨mean ap0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
flight￨NN￨root￨ROOT from￨IN￨case￨pleas ci0￨NNP￨compound￨pleas pleas￨NNS￨nmod￨flight
what￨WP￨root￨ROOT airlin￨NN￨nsubj￨what is￨VBZ￨cop￨what al0￨.￨punct￨what
what￨WDT￨det￨doe doe￨NN￨obj￨mean fb0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
explain￨VB￨root￨ROOT fare￨NN￨compound￨code code￨NN￨obj￨explain fb0￨.￨punct￨explain
al0￨NN￨root￨ROOT from￨IN￨case￨pleas ci0￨NNP￨compound￨pleas pleas￨NNS￨nmod￨al0
what￨WDT￨det￨doe doe￨NN￨obj￨mean rc0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
what￨WDT￨det￨doe doe￨NN￨obj￨mean ap0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
what￨WP￨root￨ROOT airlin￨NN￨nsubj￨what is￨VBZ￨cop￨what al0￨.￨punct￨what
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
from￨IN￨case￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show
display￨VB￨root￨ROOT all￨DT￨det￨code fare￨NN￨compound￨code code￨NN￨obj￨display
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
explain￨VB￨root￨ROOT meal￨NN￨compound￨code code￨NN￨obj￨explain rc0￨.￨punct￨explain
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
from￨IN￨case￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
what￨WDT￨det￨doe doe￨NN￨obj￨mean ap0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
what￨WDT￨det￨doe doe￨NN￨obj￨mean al0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
where￨WRB￨root￨ROOT is￨VBZ￨cop￨where ap0￨JJ￨amod￨locat locat￨NN￨nsubj￨where
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
where￨WRB￨root￨ROOT is￨VBZ￨cop￨where ap0￨JJ￨amod￨locat locat￨NN￨nsubj￨where
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT for￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
what￨WDT￨det￨doe doe￨NN￨obj￨mean al0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
rental￨JJ￨amod￨car car￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨car
rental￨JJ￨amod￨car car￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨car
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
what￨WP￨root￨ROOT airlin￨NN￨nsubj￨what is￨VBZ￨cop￨what al0￨.￨punct￨what
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨airlin airlin￨NN￨obj￨show
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
what￨WP￨nsubj￨airlin is￨VBZ￨cop￨airlin airlin￨JJ￨root￨ROOT al0￨.￨punct￨airlin
explain￨VB￨root￨ROOT the￨DT￨det￨code fare￨NN￨compound￨code code￨NN￨obj￨explain
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
what￨WP￨nsubj￨airlin airlin￨VBP￨root￨ROOT servic￨NN￨obj￨airlin ap0￨.￨punct￨airlin
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
what￨WDT￨det￨doe doe￨NN￨obj￨mean ap0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
ci1￨VB￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨obl￨ci1 da0￨.￨punct￨ci1
what￨WDT￨det￨doe doe￨NN￨nsubj￨restrict restrict￨VBP￨root￨ROOT rc0￨.￨punct￨restrict
al0￨VB￨root￨ROOT to￨IN￨case￨pleas ci0￨VB￨advcl￨al0 pleas￨NNS￨obl￨al0
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
what￨WP￨root￨ROOT airlin￨NNS￨nsubj￨there are￨VBP￨cop￨there there￨RB￨advmod￨what
what￨WDT￨det￨code fare￨NN￨compound￨code code￨NN￨root￨ROOT fb0￨.￨punct￨code
explain￨VB￨root￨ROOT the￨DT￨det￨restrict restrict￨NN￨obj￨explain rc0￨.￨punct￨explain
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
what￨WDT￨det￨doe doe￨NN￨obj￨mean al0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
from￨IN￨case￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
what￨WDT￨det￨doe doe￨NN￨obj￨mean ap0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
what￨WP￨nsubj￨airlin is￨VBZ￨cop￨airlin airlin￨JJ￨root￨ROOT al0￨.￨punct￨airlin
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
which￨WDT￨det￨ci0 airlin￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
what￨WP￨root￨ROOT airlin￨NN￨nsubj￨what is￨VBZ￨cop￨what al0￨.￨punct￨what
what￨WP￨nsubj￨airlin is￨VBZ￨cop￨airlin airlin￨JJ￨root￨ROOT al0￨.￨punct￨airlin
what￨WDT￨det￨doe doe￨NN￨obj￨mean al0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
which￨WDT￨det￨ci0 airlin￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
what￨WP￨root￨ROOT citi￨NNP￨nsubj￨what is￨VBZ￨cop￨what ap0￨.￨punct￨what
ci1￨VB￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨obl￨ci1 da0￨.￨punct￨ci1
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
what￨WP￨nsubj￨airlin is￨VBZ￨cop￨airlin airlin￨JJ￨root￨ROOT al0￨.￨punct￨airlin
from￨IN￨case￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
what￨WP￨nsubj￨restrict is￨VBZ￨aux￨restrict restrict￨VB￨root￨ROOT rc0￨.￨punct￨restrict
what￨WDT￨det￨doe doe￨NN￨obj￨mean ap0￨PRP￨nsubj￨mean mean￨VB￨root￨ROOT
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨pleas ci1￨VB￨advcl￨ci0 pleas￨NNS￨obl￨ci0
al0￨VB￨root￨ROOT to￨IN￨case￨pleas ci0￨VB￨advcl￨al0 pleas￨NNS￨obl￨al0
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
al0￨UH￨discourse￨stop stop￨VB￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨obl￨stop
doe￨NNP￨compound￨ci0 al0￨NN￨compound￨ci0 serv￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT
ci0￨VB￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0 da0￨.￨punct￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
from￨IN￨case￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
what￨WP￨nsubj￨airlin is￨VBZ￨cop￨airlin airlin￨JJ￨root￨ROOT al0￨.￨punct￨airlin
describ￨JJ￨amod￨fb0 fare￨NN￨compound￨fb0 code￨NN￨compound￨fb0 fb0￨NN￨root￨ROOT
from￨IN￨case￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
al0￨NN￨root￨ROOT from￨IN￨case￨pleas ci0￨NNP￨compound￨pleas pleas￨NNS￨nmod￨al0
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT ground￨NN￨compound￨transport transport￨NN￨obj￨show for￨IN￨case￨ci0 ci0￨NNP￨obl￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨restrict rc0￨NN￨compound￨restrict restrict￨NN￨nsubj￨what
flight￨NN￨root￨ROOT from￨IN￨case￨mn0 ci0￨NNP￨compound￨mn0 mn0￨NN￨nmod￨flight dn0￨.￨punct￨flight
which￨WDT￨det￨servic citi￨NNP￨compound￨servic doe￨NNP￨compound￨al0 al0￨NNP￨compound￨servic servic￨NN￨root￨ROOT
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
pleas￨NNS￨nsubj￨explain explain￨VBP￨root￨ROOT fare￨NN￨compound￨code code￨NN￨obj￨explain fb0￨.￨punct￨explain
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WP￨nsubj￨stop al0￨MD￨aux￨stop stop￨VBP￨root￨ROOT in￨IN￨obl￨stop ci0￨.￨punct￨stop
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
al0￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨al0 to￨IN￨case￨ci0 ci0￨NNP￨nmod￨al0
ci0￨VB￨root￨ROOT to￨TO￨mark￨ci1 ci1￨VB￨xcomp￨ci0 on￨IN￨case￨da0 da0￨NNP￨obl￨ci1
show￨VB￨root￨ROOT me￨PRP￨iobj￨show ci0￨DT￨det￨ground ground￨NN￨obj￨show transport￨NN￨obj￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WDT￨det￨airport the￨DT￨det￨airport airport￨NN￨root￨ROOT at￨IN￨case￨ci0 ci0￨NNP￨nmod￨airport
show￨VB￨root￨ROOT ground￨NN￨compound￨transport transport￨NN￨obj￨show in￨IN￨case￨ci0 ci0￨NNP￨obl￨show
doe￨NN￨nsubj￨stand al0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨case￨al0 al0￨NNP￨obl￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
nonstop￨JJ￨amod￨ci0 flight￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
what￨WP￨nsubj￨leav airlin￨VBP￨aux￨leav leav￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨obl￨leav
flight￨NN￨root￨ROOT from￨IN￨case￨mn0 ci0￨NNP￨compound￨mn0 mn0￨NN￨nmod￨flight dn0￨.￨punct￨flight
nonstop￨JJ￨amod￨ci0 flight￨NN￨compound￨ci0 ci0￨NN￨root￨ROOT to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
flight￨NN￨root￨ROOT from￨IN￨case￨ap0 ap0￨NNP￨nmod￨flight to￨IN￨case￨ap1 ap1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
list￨NN￨compound￨ground ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
fli￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fli to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fli
what￨WDT￨det￨doe doe￨NN￨nsubj￨stand al0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨punct￨stand
what￨WDT￨det￨doe doe￨NN￨nsubj￨restrict restrict￨VBP￨root￨ROOT rc0￨PRP￨obj￨restrict mean￨VB￨ccomp￨restrict
